EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
DOTY I,LABOR MINERA,BOCAMINA,UTCUBAMBA,AMAZONAS,BONGARA,VALERA,-6.09322794,-77.88635860,10251504,DOTY I,INGENIERIA Y SERVICIOS VARIOS S.A.C.,NO IDENTIFICADO,---,---,31,2
MINASPINDO,LABOR MINERA,BOCAMINA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.72134685,-77.95554750,010166094;010131203,GOLLON 4;MINASPINDO 1,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,29,2
MINASPINDO,LABOR MINERA,BOCAMINA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.72112040,-77.95564554,010166094;010131203,GOLLON 4;MINASPINDO 1,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,33,2
MINASPINDO,LABOR MINERA,BOCAMINA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.75059034,-77.96306291,010166194;010243303,GOLLON 5;MINASPINDO 3,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,25,1
MINASPINDO,LABOR MINERA,BOCAMINA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.75392101,-77.96057985,010166194;010131303,GOLLON 5;MINASPINDO 2,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,25,1
MINASPINDO,LABOR MINERA,TAJEO COMUNICADO,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.75330142,-77.96144366,010166194;010131303,GOLLON 5;MINASPINDO 2,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,25,1
MINASPINDO,LABOR MINERA,MEDIA BARRETA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.75321482,-77.96082860,010166194;010131303,GOLLON 5;MINASPINDO 2,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,27,2
MINASPINDO,LABOR MINERA,BOCAMINA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.75389478,-77.96043510,010166194;010131303,GOLLON 5;MINASPINDO 2,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,33,2
MINASPINDO,LABOR MINERA,BOCAMINA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.72457676,-77.95776297,010166094;010131203,GOLLON 4;MINASPINDO 1,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,29,2
MINASPINDO,LABOR MINERA,MEDIA BARRETA,ALTO MARAÑON,AMAZONAS,CHACHAPOYAS,BALSAS,-6.74865566,-77.96922352,010166194;010131303,GOLLON 5;MINASPINDO 2,COMPAÑIA MINERA ARGENTO S.R.L.;COMPAÑIA MINERA CORIANTA S.A.C.;CONSORCIO MINERO HORIZONTE S.A.;MINERA MAGNES S.A.C.,NO IDENTIFICADO,---,---,25,1
